"Fecha;Circulación Monetaria;CC en BCRA;Base Monetaria"
"02-01-03;18901000000;10401000000;29302000000"
"03-01-03;18907000000;10453000000;29360000000"
"06-01-03;18937000000;10586000000;29523000000"
"07-01-03;18971000000;10896000000;29867000000"
"08-01-03;18955000000;11003000000;29958000000"
"09-01-03;19008000000;10980000000;29988000000"
"10-01-03;19008000000;10672000000;29680000000"
"13-01-03;18985000000;10793000000;29778000000"
"14-01-03;18896000000;10993000000;29889000000"
"15-01-03;18788000000;11093000000;29881000000"
"16-01-03;18747000000;11169000000;29916000000"
"17-01-03;18722000000;10619000000;29341000000"
"20-01-03;18716000000;10676000000;29392000000"
"21-01-03;18654000000;10940000000;29594000000"
"22-01-03;18628000000;10945000000;29573000000"
"23-01-03;18592000000;11020000000;29612000000"
"24-01-03;18532000000;11100000000;29632000000"
"27-01-03;18479000000;11122000000;29601000000"
"28-01-03;18389000000;11223000000;29612000000"
"29-01-03;18398000000;11236000000;29634000000"
"30-01-03;18459000000;11187000000;29646000000"
"31-01-03;18584000000;10908000000;29492000000"
"03-02-03;18605000000;10562000000;29167000000"
"04-02-03;18688000000;10528000000;29216000000"
"05-02-03;18731000000;10455000000;29186000000"
"06-02-03;18810000000;10404000000;29214000000"
"07-02-03;18951000000;10237000000;29188000000"
"10-02-03;19070000000;9680000000;28750000000"
"11-02-03;18983000000;9825000000;28808000000"
"12-02-03;18882000000;10040000000;28922000000"
"13-02-03;18872000000;10093000000;28965000000"
"14-02-03;18873000000;10153000000;29026000000"
"17-02-03;18882000000;10143000000;29025000000"
"18-02-03;18843000000;10240000000;29083000000"
"19-02-03;18812000000;10353000000;29165000000"
"20-02-03;18791000000;11184000000;29975000000"
"21-02-03;18805000000;11223000000;30028000000"
"24-02-03;18797000000;11254000000;30051000000"
"25-02-03;18741000000;11387000000;30128000000"
"26-02-03;18699000000;11418000000;30117000000"
"27-02-03;18748000000;11379000000;30127000000"
"28-02-03;18887000000;11277000000;30164000000"
"03-03-03;19021000000;11185000000;30206000000"
"04-03-03;19091000000;11155000000;30246000000"
"05-03-03;19137000000;11073000000;30210000000"
"06-03-03;19301000000;10928000000;30229000000"
"07-03-03;19449000000;10736000000;30185000000"
"10-03-03;19546000000;10709000000;30255000000"
"11-03-03;19504000000;10731000000;30235000000"
"12-03-03;19432000000;10905000000;30337000000"
"13-03-03;19397000000;10924000000;30321000000"
"14-03-03;19391000000;10910000000;30301000000"
"17-03-03;19358000000;10996000000;30354000000"
"18-03-03;19281000000;11085000000;30366000000"
"19-03-03;19180000000;11227000000;30407000000"
"20-03-03;19207000000;11262000000;30469000000"
"21-03-03;19216000000;11282000000;30498000000"
"24-03-03;19200000000;11373000000;30573000000"
"25-03-03;19106000000;11492000000;30598000000"
"26-03-03;19099000000;11514000000;30613000000"
"27-03-03;19217000000;11446000000;30663000000"
"28-03-03;19417000000;11251000000;30668000000"
"01-04-03;19537000000;11136000000;30673000000"
"02-04-03;19575000000;11087000000;30662000000"
"03-04-03;19748000000;11028000000;30776000000"
"04-04-03;19816000000;10888000000;30704000000"
"07-04-03;19957000000;10777000000;30734000000"
"08-04-03;20030000000;10713000000;30743000000"
"09-04-03;20053000000;10788000000;30841000000"
"10-04-03;20082000000;10819000000;30901000000"
"11-04-03;20114000000;10736000000;30850000000"
"14-04-03;20174000000;10690000000;30864000000"
"15-04-03;20243000000;10623000000;30866000000"
"16-04-03;20224000000;10628000000;30852000000"
"21-04-03;20174000000;10701000000;30875000000"
