"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","24.24","24.46","24.66","23.90","1.85M","-3.00%"
"05/29/2025","24.99","25.33","25.33","24.72","2.07M","1.34%"
"05/28/2025","24.66","25.20","25.34","24.64","1.24M","-2.68%"
"05/27/2025","25.34","25.16","25.58","24.84","1.87M","4.93%"
"05/23/2025","24.15","24.15","24.43","24.02","1.61M","-2.78%"
"05/22/2025","24.84","25.00","25.26","24.75","2.62M","4.94%"
"05/21/2025","23.67","23.82","24.65","23.10","2.66M","0.34%"
"05/20/2025","23.59","23.42","23.67","23.04","1.21M","-0.63%"
"05/19/2025","23.74","22.65","23.99","22.59","2.75M","-2.86%"
"05/16/2025","24.44","24.49","24.66","24.23","1.10M","2.52%"
"05/15/2025","23.84","24.13","24.53","23.35","2.58M","-2.85%"
"05/14/2025","24.54","24.61","24.74","24.00","2.54M","-3.20%"
"05/13/2025","25.35","23.96","25.81","23.81","5.19M","9.41%"
"05/12/2025","23.17","24.09","24.26","22.70","4.13M","5.41%"
"05/09/2025","21.98","22.12","22.51","21.43","3.30M","10.18%"
"05/08/2025","19.95","18.56","20.13","18.50","3.95M","18.05%"
"05/07/2025","16.90","17.18","17.28","16.85","1.01M","0.60%"
"05/06/2025","16.80","16.58","16.92","16.50","1.15M","-1.87%"
"05/05/2025","17.12","16.99","17.22","16.90","803.39K","-1.27%"
"05/02/2025","17.34","17.31","17.63","17.24","1.07M","-0.23%"
"05/01/2025","17.38","17.46","17.66","17.18","2.07M","3.27%"
"04/30/2025","16.83","16.70","16.88","16.32","1.13M","-2.04%"
"04/29/2025","17.18","17.10","17.26","17.04","1.30M","1.42%"
"04/28/2025","16.94","16.96","16.99","16.44","1.58M","-0.35%"
"04/25/2025","17.00","16.67","17.23","16.57","1.94M","2.22%"
"04/24/2025","16.63","16.56","16.76","16.45","1.27M","-1.36%"
"04/23/2025","16.86","17.12","17.29","16.60","3.18M","5.11%"
"04/22/2025","16.04","15.35","16.29","15.34","2.87M","8.16%"
"04/21/2025","14.83","15.32","15.46","14.73","1.08M","-0.47%"
"04/17/2025","14.90","15.02","15.22","14.72","646.43K","-0.40%"
"04/16/2025","14.96","14.83","15.18","14.49","1.06M","-1.19%"
"04/15/2025","15.14","15.44","15.63","15.04","756.26K","-1.88%"
"04/14/2025","15.43","15.74","15.91","15.22","1.39M","4.61%"
"04/11/2025","14.75","14.68","14.97","14.52","1.10M","3.58%"
"04/10/2025","14.24","14.96","14.98","13.86","2.26M","-7.77%"
"04/09/2025","15.44","13.72","15.75","13.72","5.88M","12.13%"
"04/08/2025","13.77","14.90","14.93","13.69","2.51M","-5.17%"
"04/07/2025","14.52","14.17","15.39","14.01","4.29M","-14.84%"
"04/04/2025","17.05","16.75","17.21","16.68","1.77M","1.37%"
"04/03/2025","16.82","16.70","16.94","16.49","1.44M","-6.66%"
"04/02/2025","18.02","17.52","18.08","17.48","1.07M","0.17%"
"04/01/2025","17.99","17.64","18.15","17.35","1.17M","4.47%"
"03/31/2025","17.22","17.19","17.46","16.93","1.30M","-2.38%"
"03/28/2025","17.64","17.87","17.90","17.54","1.21M","-6.57%"
"03/27/2025","18.88","18.93","19.08","18.72","512.63K","0.27%"
"03/26/2025","18.83","19.36","19.37","18.66","1.67M","-3.73%"
"03/25/2025","19.56","19.54","19.63","19.34","826.22K","-0.66%"
"03/24/2025","19.69","19.55","19.81","19.49","1.25M","5.92%"
"03/21/2025","18.59","18.33","18.63","18.24","623.63K","0.05%"
"03/20/2025","18.58","18.73","18.93","18.38","1.32M","-2.98%"
"03/19/2025","19.15","18.92","19.42","18.83","2.36M","6.80%"
"03/18/2025","17.93","17.88","17.96","17.63","2.03M","-2.02%"
"03/17/2025","18.30","17.87","18.39","17.78","909.87K","0.49%"
"03/14/2025","18.21","17.89","18.33","17.73","1.15M","4.66%"
"03/13/2025","17.40","17.90","17.90","17.14","1.79M","-1.58%"
"03/12/2025","17.68","17.95","18.01","17.23","2.01M","-3.70%"
"03/11/2025","18.36","18.08","18.48","17.34","1.97M","4.32%"
"03/10/2025","17.60","19.92","19.94","17.05","2.57M","-13.34%"
