Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CHUBUT,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-FORMOSA,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA PAMPA,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-NEUQUEN,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA CRUZ,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CHUBUT,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_FORMOSA,Provincia_JUJUY,Provincia_LA PAMPA,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_NEUQUEN,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA CRUZ,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN
2022-01-01,152,0 days 00:10:36.815789473,0 days 00:29:19.572368421,0 days 00:42:44.302631578,5.0,0.0,0.0,15,0,20,86,66,11,10,28,15,21,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,60,0,0,0,69,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2022-01-02,241,0 days 00:48:44.406639004,0 days 00:40:34.921161825,0 days 01:37:33.535269709,11.0,5.0,0.0,24,0,36,144,97,8,18,45,40,37,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,82,0,0,0,135,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0
2022-01-03,557,0 days 04:38:09.596050269,0 days 00:56:08.908438061,0 days 05:40:56.317773788,3.0,41.0,0.0,50,0,41,326,231,28,39,111,63,85,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,218,0,0,3,283,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1
2022-01-04,480,0 days 03:32:50.958333333,0 days 00:47:44.431250,0 days 04:23:29.704166666,3.0,30.0,0.0,29,0,35,306,173,15,38,82,90,82,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,167,0,0,1,284,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
2022-01-05,540,0 days 06:05:11.603703703,0 days 00:58:27.466666666,0 days 07:00:46.507407407,0.0,25.0,0.0,35,1,46,346,194,26,33,102,79,69,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,3,0,0,0,222,0,0,0,270,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,3,0,0,0
2022-01-06,399,0 days 07:09:50.556390977,0 days 00:55:12.614035087,0 days 08:08:26.481203007,49.0,21.0,0.0,26,0,31,226,173,19,21,67,60,72,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,156,0,0,1,210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2022-01-07,316,0 days 07:33:28.458860759,0 days 00:52:37.072784810,0 days 08:26:49.411392405,104.0,10.0,0.0,30,0,44,194,122,19,23,55,50,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,124,0,0,0,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022-01-08,258,0 days 03:14:52.468992248,0 days 01:12:17.596899224,0 days 04:31:24.957364341,42.0,7.0,0.0,39,0,38,161,97,16,20,47,37,34,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,98,0,0,0,134,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0
2022-01-09,263,0 days 01:41:17.285171102,0 days 01:22:06.722433460,0 days 03:09:08.566539923,72.0,8.0,0.0,33,1,24,166,97,16,16,52,24,47,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,130,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,355,0 days 02:45:30.135211267,0 days 01:12:42.340845070,0 days 03:35:35.977464788,110.0,11.0,0.0,25,0,31,190,165,13,26,77,47,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,138,0,0,0,186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
