Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CATAMARCA,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-JUJUY,Zona Inicial_Z-LA RIOJA,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-MISIONES,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TIERRA DEL FUEGO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CATAMARCA,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_ENTRE RIOS,Provincia_JUJUY,Provincia_LA RIOJA,Provincia_MENDOZA,Provincia_MISIONES,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TIERRA DEL FUEGO,Provincia_TUCUMAN,Color Curso_ROJO,Internó_SI
2022-01-01,34,0 days 00:13:21.147058823,0 days 01:34:34.676470588,0 days 01:25:45.176470588,2.0,6.0,0.0,13,0,3,29,5,0,2,4,6,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,3
2022-01-02,37,0 days 00:04:26.405405405,0 days 02:15:26.162162162,0 days 01:29:54.675675675,3.0,3.0,0.0,12,0,2,19,18,1,1,6,4,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18,0,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,7
2022-01-03,49,0 days 00:24:17.714285714,0 days 02:06:19.224489795,0 days 01:55:01.571428571,4.0,0.0,7.0,19,0,2,35,14,0,2,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
2022-01-04,47,0 days 00:07:27.042553191,0 days 02:12:05.021276595,0 days 01:32:53.680851063,6.0,6.0,1.0,21,0,0,30,17,2,3,4,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,7
2022-01-05,46,0 days 00:21:08.500000,0 days 01:36:13.847826086,0 days 02:00:21.282608695,8.0,8.0,6.0,24,0,3,24,22,3,2,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9
2022-01-06,46,0 days 00:06:37.304347826,0 days 01:44:31.630434782,0 days 01:07:35.086956521,5.0,10.0,2.0,18,0,5,28,18,0,1,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8
2022-01-07,59,0 days 00:20:41.610169491,0 days 02:06:49.610169491,0 days 01:38:32.084745762,9.0,14.0,5.0,26,0,4,28,31,0,4,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
2022-01-08,68,0 days 00:31:30.191176470,0 days 01:39:50.220588235,0 days 02:14:03.617647058,15.0,12.0,1.0,30,0,7,41,27,2,7,9,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10
2022-01-09,36,0 days 00:20:19.694444444,0 days 01:13:26.833333333,0 days 01:36:53.388888888,5.0,0.0,0.0,14,0,4,20,16,4,2,8,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,3
2022-01-10,44,0 days 00:09:47.181818181,0 days 01:52:23.772727272,0 days 01:40:28.659090909,4.0,5.0,24.0,21,0,0,30,14,1,4,9,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
