Fecha,cantidad_servicios,tiempo_asignacion_prom,tiempo_arribo_prom,tiempo_respuesta_prom,Cantidad Camb.Color,Cantidad Reclamos,Cantidad Rechazos Internac.,Ciclo Vida_ADULTO MAY,Ciclo Vida_NEONATAL,Ciclo Vida_PEDIATRICO,Sexo_F,Sexo_M,Zona Inicial_INTERIOR,Zona Inicial_NOROESTE,Zona Inicial_NORTE,Zona Inicial_OESTE,Zona Inicial_SUR,Zona Inicial_Z-CHACO,Zona Inicial_Z-CORDOBA,Zona Inicial_Z-CORRIENTES,Zona Inicial_Z-ENTRE RIOS,Zona Inicial_Z-MENDOZA,Zona Inicial_Z-RIO NEGRO,Zona Inicial_Z-SALTA,Zona Inicial_Z-SAN JUAN,Zona Inicial_Z-SAN LUIS,Zona Inicial_Z-SANTA FE,Zona Inicial_Z-SANTIAGO DEL ESTERO,Zona Inicial_Z-TUCUMAN,Provincia_CAPITAL FEDERAL,Provincia_CHACO,Provincia_CONURBANO,Provincia_CORDOBA,Provincia_CORRIENTES,Provincia_ENTRE RIOS,Provincia_MENDOZA,Provincia_RIO NEGRO,Provincia_SALTA,Provincia_SAN JUAN,Provincia_SAN LUIS,Provincia_SANTA FE,Provincia_SANTIAGO DEL ESTERO,Provincia_TUCUMAN
2022-01-01,10,0 days 01:49:51.400000,0 days 02:58:06.900000,0 days 04:51:40.700000,4.0,3.0,0.0,4,0,3,5,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,10,0 days 00:30:49.100000,0 days 02:27:42.300000,0 days 03:00:08.700000,1.0,0.0,0.0,3,0,3,6,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,22,0 days 02:01:33.454545454,0 days 02:24:43.363636363,0 days 02:30:49.318181818,1.0,2.0,0.0,5,0,7,11,11,2,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,23,0 days 00:44:04.086956521,0 days 03:35:44.391304347,0 days 04:01:41.826086956,3.0,4.0,0.0,6,0,5,11,12,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,15,0 days 00:32:07,0 days 05:44:17.800000,0 days 06:34:19.933333333,0.0,2.0,0.0,4,0,2,8,7,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,10,0 days 01:27:27.600000,0 days 03:07:44.800000,0 days 04:41:07.700000,1.0,2.0,0.0,3,0,2,4,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,13,0 days 02:54:37,0 days 05:32:04.461538461,0 days 06:13:57.769230769,3.0,2.0,0.0,3,0,2,7,6,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0
2022-01-08,16,0 days 00:38:59.625000,0 days 04:07:27.312500,0 days 04:48:50.437500,3.0,3.0,0.0,6,0,3,9,7,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,20,0 days 00:28:11.850000,0 days 06:26:52.150000,0 days 06:59:50.250000,8.0,2.0,0.0,5,0,1,16,4,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,14,0 days 03:00:24,0 days 06:56:54.214285714,0 days 08:12:38.500000,4.0,6.0,0.0,7,0,1,7,7,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0
